Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
1,The World Assembly,Bookkeeping,Sweeping,Maxtopia,,11609,2259,2008-04-06 13:00:02-04:00
2,Rights and Duties of WA States,Political Stability,Mild,Frisbeeteria,,7501,2511,2008-04-11 13:00:01-04:00
3,The Right to a Fair Trial,Civil Rights,Strong,South Oceana,,6062,4477,2008-04-16 13:00:01-04:00
4,Restrictions on Child Labor,Civil Rights,Strong,The Dourian Embassy,,7785,2455,2008-04-23 13:00:02-04:00
5,Coordinating Relief Aid,Social Justice,Mild,Charlotte Ryberg,Mikitivity,7923,2584,2008-05-01 13:00:09-04:00
6,Humanitarian Transport,Civil Rights,Mild,Mikitivity,,6757,3243,2008-05-07 13:00:02-04:00
7,Workplace Safety Standards Act,Civil Rights,Significant,The Dourian Embassy,Yelda,7675,2513,2008-05-12 13:00:02-04:00
8,World Assembly Headquarters,Political Stability,Mild,Omigodtheykilledkenny,,4918,4499,2008-05-17 13:00:01-04:00
9,Prevention of Torture,Civil Rights,Strong,Quintessence of Dust,,6502,4000,2008-05-22 13:00:01-04:00
10,Nuclear Arms Possession Act,International Security,Mild,Flibbleites,,6313,4663,2008-06-06 13:00:01-04:00
11,"Repeal ""The Right to a Fair Trial""",Repeal,3,The Dourian Embassy,,7187,3135,2008-06-12 13:00:01-04:00
12,Prevention of Terrorism,International Security,Significant,Atrigea,,5660,3853,2008-06-17 13:00:01-04:00
13,Fair Criminal Trial,Civil Rights,Significant,The Narnian Council,,6237,2027,2008-06-22 13:00:01-04:00
14,Neutrality of Nations,Global Disarmament,Strong,Charlotte Ryberg,Wolfish,4910,2509,2008-07-30 13:00:01-04:00
15,Freedom of Marriage Act,Civil Rights,Significant,Mendosia,,5506,4393,2008-09-03 13:00:01-04:00
16,Sexual Privacy Act,Civil Rights,Significant,Mendosia,,5963,3138,2008-09-18 13:00:01-04:00
17,WA General Fund,Furtherment of Democracy,Mild,Omigodtheykilledkenny,,5258,3273,2008-09-23 13:00:01-04:00
18,The Prisoners of War Accord,Civil Rights,Mild,Cobdenia,,5561,2500,2008-09-28 13:00:01-04:00
19,Child Protection Act,Civil Rights,Significant,Rutianas,,6426,1946,2008-10-03 13:00:01-04:00
20,Suppress International Piracy,International Security,Significant,Mavenu,,5251,3392,2008-10-08 13:00:01-04:00
21,Living Wage Act,Social Justice,Significant,Gobbannaen WA Mission,,4431,3305,2008-10-13 13:00:01-04:00
22,Diplomat Protection Act,Furtherment of Democracy,Significant,Forensatha,Cobdenia,5236,2226,2008-10-18 13:00:01-04:00
23,Ban on Slavery and Trafficking,Civil Rights,Strong,Quintessence of Dust,,5944,1319,2008-10-27 13:00:02-04:00
24,"Repeal ""Prevention of Terrorism""",Repeal,12,Wachichi,,5516,1146,2008-11-15 13:00:01-05:00
25,WA Counterterrorism Act,International Security,Significant,The Altan Steppes,Wachichi,3451,1247,2008-11-30 13:00:01-05:00
26,World Assembly Economic Union,Free Trade,Strong,New Leicestershire,,2841,1622,2008-12-07 13:00:02-05:00
27,Freedom of Assembly,Furtherment of Democracy,Strong,Cookesland,,3636,1487,2008-12-15 13:00:01-05:00
28,"Repeal ""Fair Criminal Trial""",Repeal,13,Gobbannaen WA Mission,,2780,1577,2008-12-22 13:00:02-05:00
29,Patient's Rights Act,Civil Rights,Significant,New Leicestershire,,3228,797,2008-12-27 13:00:01-05:00
30,Freedom of Expression,Furtherment of Democracy,Mild,Omigodtheykilledkenny,,3225,992,2009-01-01 13:00:01-05:00
31,World Health Authority,Social Justice,Significant,Belarum,,3284,838,2009-01-06 13:00:01-05:00
32,Veterans Reform Act,Social Justice,Strong,Studly Penguins,Nebulantis,2423,2165,2009-01-22 13:00:01-05:00
33,"Repeal ""Coordinating Relief Aid""",Repeal,5,Pantherai,,2582,1429,2009-01-27 13:00:01-05:00
34,International Transport Safety,Free Trade,Mild,Cobdenia,,2839,1070,2009-02-01 13:00:01-05:00
35,The Charter of Civil Rights,Civil Rights,Significant,Urgench,,3076,1513,2009-02-06 13:00:02-05:00
36,"Repeal ""Veterans Reform Act""",Repeal,32,Zarquon Froods,,3122,892,2009-02-11 13:00:01-05:00
37,Fairness in Criminal Trials,Civil Rights,Significant,Gobbannium,,2905,1058,2009-02-24 16:00:01-05:00
38,Convention Against Genocide,Civil Rights,Significant,Kelssek,,3219,965,2009-03-01 16:00:01-05:00
39,The Right to a Lawful Divorce,Civil Rights,Significant,Sionis Prioratus,,2833,1807,2009-03-07 16:00:01-05:00
